time,q11,q12,q13,q14,q15,q16,q17
0.260000,-2.8929266539e-02,-1.0354170795e-01,-2.6928477573e-01,4.2815791025e-01,1.6640118387e-01,-8.3872473594e-02,2.4603829279e-01
0.270000,-3.2817516151e-02,-1.1180366387e-01,-2.8326795382e-01,4.4383822696e-01,1.7515894755e-01,-9.3380936437e-02,2.5063075856e-01
0.280000,-3.6922339479e-02,-1.2136576508e-01,-2.9845769715e-01,4.6141915534e-01,1.8562539062e-01,-1.0409102661e-01,2.5485751764e-01
0.290000,-4.0390696154e-02,-1.3022015854e-01,-3.1171425617e-01,4.7722518997e-01,1.9550621838e-01,-1.1376262517e-01,2.5796839236e-01
0.300000,-4.4043625016e-02,-1.4053761204e-01,-3.2625320182e-01,4.9509243492e-01,2.0716454090e-01,-1.2474718134e-01,2.6076508360e-01
0.310000,-4.7046944015e-02,-1.4996700705e-01,-3.3879414774e-01,5.1094831114e-01,2.1789321312e-01,-1.3454133019e-01,2.6269180324e-01
0.320000,-5.0163189662e-02,-1.6094588961e-01,-3.5259128781e-01,5.2887283564e-01,2.3042766646e-01,-1.4566729402e-01,2.6430166836e-01
0.330000,-5.2662391015e-02,-1.7095005778e-01,-3.6448551267e-01,5.4472592377e-01,2.4186049029e-01,-1.5555713029e-01,2.6526757946e-01
0.340000,-5.5173891723e-02,-1.8249277847e-01,-3.7751260037e-01,5.6249188966e-01,2.5504457116e-01,-1.6669588926e-01,2.6589462127e-01
0.350000,-5.7130383421e-02,-1.9308318165e-01,-3.8885759418e-01,5.7830037905e-01,2.6712291010e-01,-1.7666035069e-01,2.6606530829e-01
0.360000,-5.8984855021e-02,-2.0508843502e-01,-4.0112788341e-01,5.9570605435e-01,2.8079022102e-01,-1.8768787926e-01,2.6588136022e-01
0.370000,-6.0357399974e-02,-2.1628630120e-01,-4.1203716516e-01,6.1143399067e-01,2.9351284750e-01,-1.9770841949e-01,2.6537914293e-01
0.380000,-6.1517564556e-02,-2.2864927656e-01,-4.2359161059e-01,6.2829295854e-01,3.0753613081e-01,-2.0850570083e-01,2.6453051439e-01
0.390000,-6.2259693305e-02,-2.4048414169e-01,-4.3418920858e-01,6.4390632908e-01,3.2094180749e-01,-2.1856352121e-01,2.6344541141e-01
0.400000,-6.2702634776e-02,-2.5309686277e-01,-4.4508728548e-01,6.6004886489e-01,3.3521818739e-01,-2.2901718619e-01,2.6205827267e-01
0.410000,-6.2760343754e-02,-2.6560530655e-01,-4.5550644189e-01,6.7551225771e-01,3.4937493615e-01,-2.3909065007e-01,2.6045604145e-01
0.420000,-6.2476632925e-02,-2.7836656710e-01,-4.6582731994e-01,6.9079804743e-01,3.6382641979e-01,-2.4910119353e-01,2.5863905320e-01
0.430000,-6.1752770630e-02,-2.9164605708e-01,-4.7641609465e-01,7.0606025782e-01,3.7874973173e-01,-2.5912645712e-01,2.5684278652e-01
0.440000,-6.0627116503e-02,-3.0474581824e-01,-4.8696758990e-01,7.2046642433e-01,3.9323141077e-01,-2.6857150921e-01,2.5549790572e-01
0.450000,-5.8985459522e-02,-3.1885418209e-01,-4.9814687331e-01,7.3537114746e-01,4.0887766185e-01,-2.7837585175e-01,2.5392757327e-01
0.460000,-5.7072113541e-02,-3.3215518520e-01,-5.0857042698e-01,7.4890693265e-01,4.2368433853e-01,-2.8730272034e-01,2.5235635965e-01
0.470000,-5.4510288541e-02,-3.4688840202e-01,-5.2001481108e-01,7.6328347869e-01,4.4017754261e-01,-2.9680762001e-01,2.5050302491e-01
0.480000,-5.1784532197e-02,-3.6040479563e-01,-5.3046047362e-01,7.7595693808e-01,4.5540861806e-01,-3.0520287421e-01,2.4870198660e-01
0.490000,-4.8255772488e-02,-3.7565744321e-01,-5.4222032838e-01,7.8964669022e-01,4.7274284358e-01,-3.1428686219e-01,2.4653972991e-01
0.500000,-4.4686208371e-02,-3.8939992060e-01,-5.5282362230e-01,8.0146420740e-01,4.8851056842e-01,-3.2213841727e-01,2.4447003635e-01
0.510000,-4.0158253031e-02,-4.0505179027e-01,-5.6494392338e-01,8.1432408225e-01,5.0667376345e-01,-3.3069070937e-01,2.4195517798e-01
0.520000,-3.5705263170e-02,-4.1902792888e-01,-5.7583551635e-01,8.2528872418e-01,5.2309908292e-01,-3.3798714047e-01,2.3955508688e-01
0.530000,-3.0162633498e-02,-4.3494340208e-01,-5.8834916969e-01,8.3719348165e-01,5.4207003431e-01,-3.4591216759e-01,2.3662506407e-01
0.540000,-2.4779118785e-02,-4.4915449394e-01,-5.9965257673e-01,8.4730365237e-01,5.5928242359e-01,-3.5264412477e-01,2.3380665281e-01
0.550000,-1.8226322045e-02,-4.6518200144e-01,-6.1257170400e-01,8.5814801056e-01,5.7902727567e-01,-3.5986675340e-01,2.3037894052e-01
0.560000,-1.1859841774e-02,-4.7961914520e-01,-6.2439787337e-01,8.6739645508e-01,5.9716397060e-01,-3.6602983792e-01,2.2702302789e-01
0.570000,-4.3259245215e-03,-4.9559074938e-01,-6.3770230166e-01,8.7709693889e-01,6.1763180968e-01,-3.7250139419e-01,2.2299425824e-01
0.580000,3.0769551062e-03,-5.1022994605e-01,-6.5013943876e-01,8.8547001833e-01,6.3683553525e-01,-3.7810105672e-01,2.1894343552e-01
0.590000,1.1532052793e-02,-5.2596121900e-01,-6.6376177883e-01,8.9396648721e-01,6.5795235342e-01,-3.8380622574e-01,2.1418925901e-01
0.600000,2.0018111928e-02,-5.4075741500e-01,-6.7685836014e-01,9.0144377105e-01,6.7836629663e-01,-3.8886551021e-01,2.0923930131e-01
0.610000,2.9295112835e-02,-5.5604801313e-01,-6.9066561028e-01,9.0870056663e-01,7.0002643183e-01,-3.9382997873e-01,2.0361624093e-01
0.620000,3.8892216913e-02,-5.7092818498e-01,-7.0440442026e-01,9.1525469274e-01,7.2178438700e-01,-3.9840087926e-01,1.9750715201e-01
0.630000,4.8859404139e-02,-5.8558840385e-01,-7.1820081255e-01,9.2127100072e-01,7.4387599593e-01,-4.0270606135e-01,1.9084714744e-01
0.640000,5.9541544148e-02,-6.0041995411e-01,-7.3243976085e-01,9.2685816953e-01,7.6704740370e-01,-4.0687782474e-01,1.8326881982e-01
0.650000,7.0086774008e-02,-6.1434622088e-01,-7.4602138610e-01,9.3168552722e-01,7.8956352932e-01,-4.1068412286e-01,1.7533997917e-01
0.660000,8.1689203444e-02,-6.2886104013e-01,-7.6037860600e-01,9.3622864306e-01,8.1399851388e-01,-4.1458383037e-01,1.6598984925e-01
0.670000,9.2656701911e-02,-6.4194239097e-01,-7.7343045362e-01,9.3991859741e-01,8.3688918549e-01,-4.1810500866e-01,1.5653829542e-01
0.680000,1.0491141862e-01,-6.5584049010e-01,-7.8734678542e-01,9.4336006157e-01,8.6230929669e-01,-4.2193869945e-01,1.4513303486e-01
0.690000,1.1608804665e-01,-6.6795420120e-01,-7.9943030697e-01,9.4595861587e-01,8.8543772039e-01,-4.2543944619e-01,1.3392380379e-01
0.700000,1.2861327104e-01,-6.8092017313e-01,-8.1213921149e-01,9.4826650006e-01,9.1141141723e-01,-4.2950694584e-01,1.2022086143e-01
0.710000,1.3971545387e-01,-6.9193033149e-01,-8.2266315737e-01,9.4981394567e-01,9.3451663309e-01,-4.3331036160e-01,1.0705914988e-01
0.720000,1.5214660785e-01,-7.0373431919e-01,-8.3356752860e-01,9.5098087839e-01,9.6049676924e-01,-4.3786857046e-01,9.1133630625e-02
0.730000,1.6296442480e-01,-7.1358988161e-01,-8.4217557622e-01,9.5151255280e-01,9.8326888912e-01,-4.4222095621e-01,7.6099227767e-02
